Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
-,residentevil+6828,1164.5412188432306,0,0.0,0.0%,1165,0
-,Yragael+5413,1164.0831244493809,0,0.0,0.0%,1164,0
-,MOMOGA+5135,1164.0351714827757,0,0.0,0.0%,1164,0
-,brrrlinguist+929,1164.0314551820172,0,0.0,0.0%,1164,0
-,OUSlaughter+3653,1163.7927196176238,0,0.0,0.0%,1164,0
-,FalconBird+7701,1163.7323284909148,0,0.0,0.0%,1164,0
-,MinePokemine+7899,1163.5601860663262,8,1.0,12.5%,1245,-4
-,creapy01+439,1163.3659843848782,2,0.0,0.0%,1200,-23
-,TheRedViper+1596,1163.2611997308602,0,0.0,0.0%,1163,0
-,Drinken+3181,1162.9125590519857,0,0.0,0.0%,1163,0
-,StarhardFishrinse+1675,1162.608953507278,0,0.0,0.0%,1163,0
-,CptAlex+2928,1162.1500063718945,0,0.0,0.0%,1162,0
-,Blepblep+6970,1161.9425113590962,2,0.0,0.0%,1200,-25
-,ScrubSewelly+4951,1161.6616516273198,16,2.0,12.5%,1307,-7
-,DevilUnfiltered+380,1161.1829917016635,2,0.0,0.0%,1200,-20
-,Marcus+9032,1160.756164963634,0,0.0,0.0%,1161,0
-,metalnooze+4817,1160.698248322218,0,0.0,0.0%,1161,0
-,SSR_Mike+6444,1160.6078558680636,0,0.0,0.0%,1161,0
-,Cheetah32+6800,1160.5716718218669,0,0.0,0.0%,1161,0
-,RexCow+93848049,1160.298575136513,0,0.0,0.0%,1160,0
-,BadScra+3199,1160.0001265445937,49,9.0,18.4%,1226,-6
-,Biggins96+3792,1159.8265419908992,0,0.0,0.0%,1160,0
-,Bjoda+2731,1159.7771721081874,1,0.0,0.0%,1167,-10
-,RaveAnt+1236,1159.7159005458584,3,0.0,0.0%,1200,-8
-,MangoBlade11+7548,1159.15175938197,0,0.0,0.0%,1159,0
-,kingslime+8836,1159.1380029184936,3,0.0,0.0%,1200,-16
-,BigHat+3791,1158.2203482169161,3,0.0,0.0%,1200,-6
-,Dandel+3128,1157.9163973073946,59,11.0,18.6%,1163,-4
-,Hiyoshi+2879,1157.5935321201505,0,0.0,0.0%,1158,0
